BICYCLE THEFT,"March 11, 2017","1015 Spanish River Rd, Boca Raton, Florida"
BICYCLE THEFT,"March 12, 2017","400 Ne 20Th St, Boca Raton, Florida"
BICYCLE THEFT,"March 13, 2017","2142 N Federal Hwy, Boca Raton, Florida"
BICYCLE THEFT,"March 16, 2017","21319 Town Lakes Dr, Boca Raton, Florida"
BICYCLE THEFT,"March 16, 2017","135 Nw 20Th St, Boca Raton, Florida"
BICYCLE THEFT,"March 17, 2017","2146 N Federal Hwy, Boca Raton, Florida"
BICYCLE THEFT,"March 20, 2017","1001 Sw 2Nd Ave, Boca Raton, Florida"
BICYCLE THEFT,"March 21, 2017","1001 S Federal Hwy, Boca Raton, Florida"
BICYCLE THEFT,"March 22, 2017","150 Crawford Blvd, Boca Raton, Florida"
BICYCLE THEFT,"March 22, 2017","331 Plaza Real, Boca Raton, Florida"
BURGLARY TO BUSINESS,"April 5, 2016","21126 St Andrews Blvd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"April 10, 2016","861 W Yamato Rd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"April 11, 2016","2001 Nw 2Nd Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"April 20, 2016","4726 Nw 2Nd Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"April 21, 2016","1355 W Palmetto Park Rd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"April 29, 2016","6000 W Glades Rd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"April 30, 2016","146 S Federal Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"May 10, 2016","2645 Nw 1St Ave, Boca Raton, Florida"
BURGLARY TO BUSINESS,"May 11, 2016","134 Nw 16Th St, Boca Raton, Florida"
BURGLARY TO BUSINESS,"May 12, 2016","5355 Town Center Rd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"May 16, 2016","4040 N Dixie Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"May 17, 2016","4040 N Dixie Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"May 20, 2016","2301 W Glades Rd, Boca Raton, Florida"
BURGLARY TO BUSINESS,"May 25, 2016","5201 N Dixie Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"May 26, 2016","1655 N Federal Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"June 7, 2016","4331 N Dixie Hwy, Boca Raton, Florida"
BURGLARY TO BUSINESS,"June 7, 2016","104 Nw 40Th St, Boca Raton, Florida"
